round,loss
1,853.2693481445312
2,168.85362243652344
3,81.8494873046875
4,142.42135620117188
5,51.19196701049805
6,45.86439895629883
7,80.98767852783203
8,39.97746658325195
9,38.31205749511719
10,65.48753356933594
1,1238.14306640625
2,584.9905395507812
3,144.74061584472656
4,77.633056640625
5,101.7896499633789
6,71.71172332763672
7,41.24782943725586
8,63.85346221923828
9,42.32648849487305
10,28.122398376464844
1,1844.025390625
2,825.6387939453125
3,292.8288879394531
4,463.7418518066406
