round,time
1,25.13126277923584
2,40.52883505821228
3,60.65484380722046
4,36.56808090209961
5,43.59528088569641
6,59.0058650970459
7,32.592414140701294
8,47.584136962890625
9,63.232017993927
10,33.522348165512085
