round,loss
1,429.1503601074219
2,47.49235534667969
3,24.190528869628906
4,22.733369827270508
5,21.131763458251953
6,17.549577713012695
7,15.900925636291504
8,17.2631893157959
9,13.948857307434082
10,14.384638786315918
